County,Region,State,State_ABB,Adult Obesity,Adult Smokers,Children in Poverty,Diabetic,Food Insecure,Physically Inactive
Henry,Midwest,Illinois,IL,31%,15%,15%,10%,11%,29%
Iroquois,Midwest,Illinois,IL,33%,16%,22%,11%,13%,28%
Jackson,Midwest,Illinois,IL,31%,21%,33%,9%,19%,25%
Jasper,Midwest,Illinois,IL,31%,15%,18%,9%,11%,24%
Jefferson,Midwest,Illinois,IL,33%,17%,28%,10%,15%,27%
Jersey,Midwest,Illinois,IL,32%,15%,17%,9%,11%,28%
Jo Daviess,Midwest,Illinois,IL,29%,14%,16%,11%,11%,28%
Johnson,Midwest,Illinois,IL,31%,17%,20%,10%,15%,26%
Kane,Midwest,Illinois,IL,26%,14%,16%,9%,9%,19%
Kankakee,Midwest,Illinois,IL,34%,17%,21%,10%,16%,25%
Kendall,Midwest,Illinois,IL,35%,14%,7%,8%,8%,22%
Knox,Midwest,Illinois,IL,25%,17%,27%,11%,15%,26%
Lake,Midwest,Illinois,IL,29%,14%,13%,9%,9%,20%
LaSalle,Midwest,Illinois,IL,29%,16%,20%,10%,13%,26%
Lawrence,Midwest,Illinois,IL,32%,17%,24%,10%,14%,26%
Lee,Midwest,Illinois,IL,33%,16%,16%,10%,13%,29%
Livingston,Midwest,Illinois,IL,31%,15%,17%,9%,13%,31%
Logan,Midwest,Illinois,IL,31%,17%,18%,9%,15%,25%
Macon,Midwest,Illinois,IL,31%,17%,26%,11%,18%,24%
Macoupin,Midwest,Illinois,IL,33%,15%,20%,10%,13%,31%
Madison,Midwest,Illinois,IL,33%,17%,18%,9%,14%,27%
Marion,Midwest,Illinois,IL,36%,17%,30%,11%,16%,33%
Marshall,Midwest,Illinois,IL,32%,15%,16%,10%,12%,27%
Mason,Midwest,Illinois,IL,33%,17%,20%,10%,15%,27%
Massac,Midwest,Illinois,IL,34%,17%,30%,11%,15%,29%
McDonough,Midwest,Illinois,IL,29%,19%,23%,8%,17%,23%
McHenry,Midwest,Illinois,IL,28%,16%,9%,9%,9%,22%
McLean,Midwest,Illinois,IL,29%,16%,13%,7%,13%,22%
Menard,Midwest,Illinois,IL,31%,15%,15%,9%,11%,25%
Mercer,Midwest,Illinois,IL,31%,14%,13%,10%,12%,30%
Monroe,Midwest,Illinois,IL,33%,13%,6%,8%,10%,27%
Montgomery,Midwest,Illinois,IL,29%,16%,23%,10%,16%,25%
Morgan,Midwest,Illinois,IL,31%,17%,21%,10%,15%,29%
Moultrie,Midwest,Illinois,IL,31%,17%,18%,10%,12%,27%
Ogle,Midwest,Illinois,IL,29%,16%,16%,9%,13%,23%
Peoria,Midwest,Illinois,IL,29%,16%,24%,10%,17%,25%
Perry,Midwest,Illinois,IL,30%,17%,22%,10%,16%,24%
Piatt,Midwest,Illinois,IL,30%,14%,10%,9%,11%,25%
Pike,Midwest,Illinois,IL,32%,16%,23%,10%,13%,30%
Pope,Midwest,Illinois,IL,31%,16%,31%,11%,15%,27%
Pulaski,Midwest,Illinois,IL,32%,19%,36%,14%,18%,28%
Putnam,Midwest,Illinois,IL,31%,14%,15%,10%,14%,25%
Randolph,Midwest,Illinois,IL,30%,17%,19%,10%,14%,25%
Richland,Midwest,Illinois,IL,31%,16%,22%,10%,14%,29%
Rock Island,Midwest,Illinois,IL,31%,16%,25%,10%,13%,25%
Saline,Midwest,Illinois,IL,32%,18%,32%,11%,16%,26%
Sangamon,Midwest,Illinois,IL,30%,16%,23%,10%,14%,25%
Schuyler,Midwest,Illinois,IL,31%,16%,17%,10%,12%,26%
Scott,Midwest,Illinois,IL,31%,16%,18%,10%,14%,26%
Shelby,Midwest,Illinois,IL,32%,15%,18%,10%,13%,31%
St. Clair,Midwest,Illinois,IL,32%,17%,27%,12%,17%,28%
Stark,Midwest,Illinois,IL,32%,14%,16%,10%,13%,28%
Stephenson,Midwest,Illinois,IL,29%,16%,22%,12%,16%,26%
Tazewell,Midwest,Illinois,IL,29%,15%,13%,9%,12%,26%
Union,Midwest,Illinois,IL,31%,17%,25%,11%,16%,26%
Vermilion,Midwest,Illinois,IL,37%,18%,28%,11%,17%,27%
Wabash,Midwest,Illinois,IL,33%,16%,21%,10%,12%,28%
Warren,Midwest,Illinois,IL,34%,17%,19%,10%,13%,29%
Washington,Midwest,Illinois,IL,31%,15%,13%,9%,11%,27%
Wayne,Midwest,Illinois,IL,31%,17%,23%,10%,13%,28%
White,Midwest,Illinois,IL,31%,15%,22%,10%,13%,25%
Whiteside,Midwest,Illinois,IL,27%,16%,18%,10%,12%,26%
Will,Midwest,Illinois,IL,28%,15%,12%,9%,10%,24%
Williamson,Midwest,Illinois,IL,32%,17%,23%,10%,14%,27%
Winnebago,Midwest,Illinois,IL,32%,17%,25%,11%,16%,26%
Woodford,Midwest,Illinois,IL,32%,15%,9%,9%,11%,22%
Adair,Midwest,Iowa,IA,31%,15%,16%,10%,11%,30%
Adams,Midwest,Iowa,IA,32%,16%,19%,10%,12%,28%
Allamakee,Midwest,Iowa,IA,30%,16%,19%,11%,12%,25%
Appanoose,Midwest,Iowa,IA,32%,17%,25%,11%,14%,34%
Audubon,Midwest,Iowa,IA,33%,16%,17%,11%,12%,28%
Benton,Midwest,Iowa,IA,33%,17%,12%,9%,11%,28%
Black Hawk,Midwest,Iowa,IA,29%,17%,17%,9%,15%,24%
Boone,Midwest,Iowa,IA,32%,18%,13%,9%,11%,26%
Bremer,Midwest,Iowa,IA,32%,15%,7%,9%,10%,25%
Buchanan,Midwest,Iowa,IA,33%,16%,16%,9%,12%,27%
Buena Vista,Midwest,Iowa,IA,31%,16%,18%,10%,10%,25%
Butler,Midwest,Iowa,IA,33%,15%,13%,10%,11%,29%
Calhoun,Midwest,Iowa,IA,33%,18%,17%,11%,12%,25%
Carroll,Midwest,Iowa,IA,30%,16%,12%,9%,11%,25%
Cass,Midwest,Iowa,IA,32%,17%,19%,11%,13%,26%
Cedar,Midwest,Iowa,IA,33%,16%,10%,10%,11%,32%
Cerro Gordo,Midwest,Iowa,IA,31%,17%,15%,10%,13%,28%
Cherokee,Midwest,Iowa,IA,36%,15%,14%,10%,12%,30%
Chickasaw,Midwest,Iowa,IA,31%,18%,14%,10%,12%,24%
Clarke,Midwest,Iowa,IA,30%,19%,21%,11%,12%,28%
Clay,Midwest,Iowa,IA,31%,15%,16%,10%,12%,25%
Clayton,Midwest,Iowa,IA,35%,16%,17%,10%,13%,29%
Clinton,Midwest,Iowa,IA,31%,18%,18%,10%,13%,28%
Crawford,Midwest,Iowa,IA,33%,17%,16%,11%,9%,31%
Dallas,Midwest,Iowa,IA,31%,16%,7%,7%,9%,27%
Davis,Midwest,Iowa,IA,31%,20%,25%,11%,14%,31%
Decatur,Midwest,Iowa,IA,31%,19%,27%,10%,14%,25%
Delaware,Midwest,Iowa,IA,32%,16%,12%,10%,11%,29%
Des Moines,Midwest,Iowa,IA,32%,19%,24%,11%,14%,27%
Dickinson,Midwest,Iowa,IA,33%,15%,10%,10%,12%,25%
Dubuque,Midwest,Iowa,IA,28%,16%,14%,9%,12%,23%
Emmet,Midwest,Iowa,IA,35%,16%,17%,10%,11%,30%
Fayette,Midwest,Iowa,IA,39%,17%,18%,10%,12%,29%
Floyd,Midwest,Iowa,IA,33%,18%,18%,11%,13%,29%
Franklin,Midwest,Iowa,IA,33%,17%,19%,11%,11%,26%
Fremont,Midwest,Iowa,IA,33%,17%,17%,10%,11%,28%
Greene,Midwest,Iowa,IA,29%,17%,18%,11%,12%,30%
Grundy,Midwest,Iowa,IA,29%,15%,9%,9%,10%,27%
Guthrie,Midwest,Iowa,IA,35%,16%,15%,10%,12%,31%
Hamilton,Midwest,Iowa,IA,30%,16%,16%,10%,13%,28%
Hancock,Midwest,Iowa,IA,33%,15%,13%,10%,11%,26%
Hardin,Midwest,Iowa,IA,33%,15%,19%,10%,12%,28%
Harrison,Midwest,Iowa,IA,32%,17%,15%,10%,11%,28%
Henry,Midwest,Iowa,IA,33%,17%,18%,10%,14%,28%
Howard,Midwest,Iowa,IA,32%,17%,17%,10%,12%,29%
Humboldt,Midwest,Iowa,IA,33%,17%,15%,10%,11%,27%
Ida,Midwest,Iowa,IA,31%,17%,15%,11%,13%,29%
Iowa,Midwest,Iowa,IA,30%,16%,9%,9%,11%,23%
Jackson,Midwest,Iowa,IA,33%,17%,17%,10%,12%,27%
Jasper,Midwest,Iowa,IA,34%,17%,14%,10%,13%,30%
Jefferson,Midwest,Iowa,IA,28%,17%,21%,10%,13%,23%
Johnson,Midwest,Iowa,IA,23%,17%,11%,7%,14%,16%
Jones,Midwest,Iowa,IA,32%,16%,14%,10%,12%,24%
Keokuk,Midwest,Iowa,IA,29%,17%,18%,10%,12%,30%
Kossuth,Midwest,Iowa,IA,31%,15%,13%,10%,10%,27%
Lee,Midwest,Iowa,IA,32%,18%,24%,10%,15%,28%
Linn,Midwest,Iowa,IA,30%,16%,12%,9%,12%,22%
Louisa,Midwest,Iowa,IA,35%,17%,15%,10%,10%,29%
Lucas,Midwest,Iowa,IA,32%,17%,25%,11%,13%,30%
Lyon,Midwest,Iowa,IA,30%,15%,10%,9%,10%,27%
Madison,Midwest,Iowa,IA,34%,17%,10%,9%,12%,26%
Mahaska,Midwest,Iowa,IA,31%,19%,16%,9%,14%,26%
Marion,Midwest,Iowa,IA,31%,16%,13%,9%,12%,23%
Marshall,Midwest,Iowa,IA,33%,17%,18%,10%,11%,27%
Mills,Midwest,Iowa,IA,34%,17%,13%,10%,10%,31%
Mitchell,Midwest,Iowa,IA,31%,15%,17%,10%,11%,25%
Monona,Midwest,Iowa,IA,30%,17%,19%,11%,13%,29%
Monroe,Midwest,Iowa,IA,33%,17%,18%,10%,13%,32%
Montgomery,Midwest,Iowa,IA,34%,19%,30%,11%,13%,30%
Muscatine,Midwest,Iowa,IA,35%,18%,17%,10%,11%,27%
O'Brien,Midwest,Iowa,IA,31%,16%,14%,10%,11%,22%
Osceola,Midwest,Iowa,IA,32%,16%,15%,10%,11%,30%
Page,Midwest,Iowa,IA,33%,17%,23%,11%,13%,28%
Palo Alto,Midwest,Iowa,IA,33%,16%,15%,10%,11%,28%
Plymouth,Midwest,Iowa,IA,33%,16%,10%,9%,10%,25%
Pocahontas,Midwest,Iowa,IA,31%,17%,19%,11%,12%,31%
Polk,Midwest,Iowa,IA,29%,19%,18%,8%,12%,22%
Pottawattamie,Midwest,Iowa,IA,37%,19%,18%,10%,12%,30%
Poweshiek,Midwest,Iowa,IA,31%,17%,14%,9%,13%,23%
Ringgold,Midwest,Iowa,IA,35%,17%,25%,12%,13%,30%
Sac,Midwest,Iowa,IA,31%,15%,15%,10%,11%,26%
Scott,Midwest,Iowa,IA,31%,18%,16%,9%,14%,23%
Shelby,Midwest,Iowa,IA,31%,16%,12%,11%,11%,33%
Sioux,Midwest,Iowa,IA,28%,15%,9%,8%,9%,25%
Story,Midwest,Iowa,IA,26%,17%,10%,7%,15%,20%
Tama,Midwest,Iowa,IA,33%,18%,18%,10%,12%,33%
Taylor,Midwest,Iowa,IA,30%,17%,17%,11%,12%,24%
Union,Midwest,Iowa,IA,37%,18%,19%,10%,13%,27%
Van Buren,Midwest,Iowa,IA,32%,18%,24%,11%,13%,30%
Wapello,Midwest,Iowa,IA,33%,21%,22%,11%,14%,32%
Warren,Midwest,Iowa,IA,31%,15%,8%,8%,11%,29%
Washington,Midwest,Iowa,IA,31%,15%,15%,9%,11%,27%
Wayne,Midwest,Iowa,IA,31%,17%,25%,11%,12%,26%
Webster,Midwest,Iowa,IA,31%,20%,20%,10%,14%,27%
Winnebago,Midwest,Iowa,IA,32%,16%,14%,10%,12%,31%
Winneshiek,Midwest,Iowa,IA,25%,15%,10%,8%,11%,21%
Woodbury,Midwest,Iowa,IA,34%,20%,21%,10%,12%,27%
Worth,Midwest,Iowa,IA,34%,17%,15%,10%,12%,31%
Wright,Midwest,Iowa,IA,34%,16%,18%,11%,11%,30%
Allen,Midwest,Kansas,KS,34%,17%,25%,11%,15%,30%
Anderson,Midwest,Kansas,KS,32%,17%,21%,11%,15%,29%
Atchison,Midwest,Kansas,KS,30%,19%,22%,10%,17%,28%
Barber,Midwest,Kansas,KS,37%,17%,17%,11%,13%,28%
Barton,Midwest,Kansas,KS,35%,18%,22%,11%,12%,28%
Bourbon,Midwest,Kansas,KS,36%,19%,29%,11%,16%,28%
Brown,Midwest,Kansas,KS,31%,19%,27%,12%,16%,32%
Butler,Midwest,Kansas,KS,31%,17%,14%,9%,13%,26%
Chase,Midwest,Kansas,KS,30%,16%,17%,11%,14%,29%
Chautauqua,Midwest,Kansas,KS,33%,18%,26%,13%,15%,36%
Cherokee,Midwest,Kansas,KS,39%,20%,27%,11%,16%,33%
Cheyenne,Midwest,Kansas,KS,33%,14%,18%,11%,12%,34%
Clark,Midwest,Kansas,KS,30%,18%,17%,12%,12%,28%
Clay,Midwest,Kansas,KS,36%,15%,16%,11%,14%,28%
Cloud,Midwest,Kansas,KS,33%,18%,19%,11%,14%,29%
Coffey,Midwest,Kansas,KS,33%,16%,13%,10%,13%,26%
Comanche,Midwest,Kansas,KS,34%,14%,16%,11%,12%,27%
Cowley,Midwest,Kansas,KS,37%,20%,21%,11%,15%,30%
Crawford,Midwest,Kansas,KS,35%,20%,25%,10%,17%,27%
Decatur,Midwest,Kansas,KS,36%,17%,19%,13%,12%,28%
Dickinson,Midwest,Kansas,KS,33%,18%,16%,10%,14%,30%
Doniphan,Midwest,Kansas,KS,31%,17%,21%,10%,14%,29%
Douglas,Midwest,Kansas,KS,23%,17%,15%,7%,17%,19%
Edwards,Midwest,Kansas,KS,33%,16%,14%,11%,11%,29%
Elk,Midwest,Kansas,KS,35%,17%,28%,13%,15%,27%
Ellis,Midwest,Kansas,KS,29%,20%,12%,8%,14%,26%
Ellsworth,Midwest,Kansas,KS,33%,17%,14%,10%,12%,33%
Finney,Midwest,Kansas,KS,35%,18%,26%,11%,9%,22%
Ford,Midwest,Kansas,KS,33%,19%,22%,11%,8%,31%
Franklin,Midwest,Kansas,KS,33%,18%,19%,9%,15%,31%
Geary,Midwest,Kansas,KS,31%,20%,20%,7%,18%,26%
Gove,Midwest,Kansas,KS,32%,15%,15%,11%,12%,26%
Graham,Midwest,Kansas,KS,30%,15%,18%,12%,13%,27%
Grant,Midwest,Kansas,KS,33%,18%,17%,11%,7%,26%
Gray,Midwest,Kansas,KS,34%,16%,11%,9%,10%,25%
Greeley,Midwest,Kansas,KS,31%,15%,15%,11%,9%,27%
Greenwood,Midwest,Kansas,KS,32%,19%,25%,13%,15%,29%
Hamilton,Midwest,Kansas,KS,38%,19%,18%,11%,9%,22%
Harper,Midwest,Kansas,KS,34%,18%,21%,11%,14%,35%
Harvey,Midwest,Kansas,KS,32%,16%,19%,10%,13%,27%
Haskell,Midwest,Kansas,KS,34%,17%,15%,10%,9%,28%
Hodgeman,Midwest,Kansas,KS,31%,15%,10%,11%,10%,27%
Jackson,Midwest,Kansas,KS,35%,16%,15%,10%,13%,30%
Jefferson,Midwest,Kansas,KS,31%,16%,13%,9%,12%,23%
Jewell,Midwest,Kansas,KS,30%,16%,19%,13%,13%,30%
Johnson,Midwest,Kansas,KS,23%,13%,8%,8%,12%,18%
Kearny,Midwest,Kansas,KS,30%,17%,19%,10%,9%,27%
Kingman,Midwest,Kansas,KS,32%,17%,17%,11%,14%,30%
Kiowa,Midwest,Kansas,KS,32%,18%,14%,11%,13%,27%
Labette,Midwest,Kansas,KS,36%,20%,27%,11%,16%,33%
Lane,Midwest,Kansas,KS,33%,15%,18%,11%,11%,26%
Leavenworth,Midwest,Kansas,KS,31%,18%,14%,9%,15%,26%
Lincoln,Midwest,Kansas,KS,31%,16%,19%,12%,13%,25%
Linn,Midwest,Kansas,KS,32%,17%,22%,11%,15%,29%
Logan,Midwest,Kansas,KS,32%,15%,13%,10%,14%,28%
Lyon,Midwest,Kansas,KS,34%,21%,21%,10%,16%,23%
Marion,Midwest,Kansas,KS,33%,16%,15%,11%,13%,25%
Marshall,Midwest,Kansas,KS,34%,17%,14%,11%,13%,26%
McPherson,Midwest,Kansas,KS,30%,15%,11%,9%,12%,25%
Meade,Midwest,Kansas,KS,26%,15%,16%,10%,11%,26%
Miami,Midwest,Kansas,KS,33%,16%,12%,10%,13%,26%
Mitchell,Midwest,Kansas,KS,32%,15%,16%,10%,13%,28%
Montgomery,Midwest,Kansas,KS,35%,20%,25%,12%,17%,27%
Morris,Midwest,Kansas,KS,35%,16%,20%,11%,13%,29%
Morton,Midwest,Kansas,KS,31%,17%,16%,11%,11%,33%
Nemaha,Midwest,Kansas,KS,31%,15%,12%,10%,13%,28%
Neosho,Midwest,Kansas,KS,33%,19%,26%,11%,16%,29%
Ness,Midwest,Kansas,KS,31%,16%,14%,12%,11%,27%
Norton,Midwest,Kansas,KS,34%,17%,16%,10%,13%,26%
Osage,Midwest,Kansas,KS,36%,17%,17%,11%,14%,29%
Osborne,Midwest,Kansas,KS,34%,16%,21%,12%,14%,30%
Ottawa,Midwest,Kansas,KS,37%,16%,13%,10%,12%,30%
Pawnee,Midwest,Kansas,KS,31%,17%,17%,11%,13%,25%
Phillips,Midwest,Kansas,KS,28%,16%,19%,11%,13%,31%
Pottawatomie,Midwest,Kansas,KS,32%,15%,12%,9%,12%,25%
Pratt,Midwest,Kansas,KS,33%,16%,16%,10%,13%,24%
Rawlins,Midwest,Kansas,KS,33%,16%,17%,12%,13%,32%
Reno,Midwest,Kansas,KS,33%,17%,21%,11%,14%,27%
Republic,Midwest,Kansas,KS,29%,16%,18%,12%,13%,35%
Rice,Midwest,Kansas,KS,31%,17%,20%,10%,13%,26%
Riley,Midwest,Kansas,KS,24%,17%,17%,6%,19%,17%
Rooks,Midwest,Kansas,KS,32%,17%,16%,11%,15%,30%
Rush,Midwest,Kansas,KS,31%,16%,19%,12%,14%,30%
Russell,Midwest,Kansas,KS,30%,17%,20%,12%,14%,23%
Saline,Midwest,Kansas,KS,33%,18%,19%,10%,15%,26%
Scott,Midwest,Kansas,KS,31%,16%,13%,11%,11%,29%
Sedgwick,Midwest,Kansas,KS,31%,18%,19%,11%,15%,25%
Seward,Midwest,Kansas,KS,35%,18%,22%,11%,8%,27%
Shawnee,Midwest,Kansas,KS,32%,20%,21%,11%,16%,24%
Sheridan,Midwest,Kansas,KS,32%,17%,16%,12%,12%,30%
Sherman,Midwest,Kansas,KS,32%,18%,23%,11%,15%,30%
Smith,Midwest,Kansas,KS,33%,17%,18%,12%,13%,27%
Stafford,Midwest,Kansas,KS,33%,17%,20%,12%,12%,33%
Stanton,Midwest,Kansas,KS,30%,17%,17%,12%,6%,32%
Stevens,Midwest,Kansas,KS,34%,16%,14%,10%,9%,29%
Sumner,Midwest,Kansas,KS,34%,16%,19%,10%,14%,30%
Thomas,Midwest,Kansas,KS,32%,16%,13%,8%,13%,26%
Trego,Midwest,Kansas,KS,30%,15%,12%,11%,12%,27%
Wabaunsee,Midwest,Kansas,KS,32%,15%,14%,10%,12%,26%
Wallace,Midwest,Kansas,KS,33%,15%,13%,11%,11%,26%
Washington,Midwest,Kansas,KS,32%,15%,15%,11%,12%,31%
Wichita,Midwest,Kansas,KS,31%,17%,15%,12%,9%,27%
Wilson,Midwest,Kansas,KS,31%,19%,26%,12%,16%,27%
Woodson,Midwest,Kansas,KS,30%,19%,26%,12%,16%,29%
Wyandotte,Midwest,Kansas,KS,38%,23%,35%,13%,18%,33%
Aitkin,Midwest,Minnesota,MN,27%,16%,24%,12%,11%,29%
Anoka,Midwest,Minnesota,MN,30%,16%,11%,8%,9%,19%
Becker,Midwest,Minnesota,MN,29%,17%,19%,10%,11%,25%
Beltrami,Midwest,Minnesota,MN,29%,19%,25%,10%,14%,23%
Benton,Midwest,Minnesota,MN,28%,18%,15%,8%,12%,22%
Big Stone,Midwest,Minnesota,MN,30%,15%,17%,10%,10%,22%
Blue Earth,Midwest,Minnesota,MN,28%,18%,17%,7%,12%,19%
Brown,Midwest,Minnesota,MN,28%,15%,12%,9%,10%,21%
Carlton,Midwest,Minnesota,MN,28%,19%,14%,9%,11%,20%
Carver,Midwest,Minnesota,MN,24%,13%,6%,6%,7%,16%
Cass,Midwest,Minnesota,MN,27%,18%,26%,11%,12%,24%
Chippewa,Midwest,Minnesota,MN,30%,16%,18%,9%,10%,33%
Chisago,Midwest,Minnesota,MN,30%,16%,7%,7%,9%,23%
Clay,Midwest,Minnesota,MN,28%,16%,15%,7%,10%,23%
Clearwater,Midwest,Minnesota,MN,30%,19%,27%,11%,14%,24%
Cook,Midwest,Minnesota,MN,26%,17%,16%,11%,10%,20%
Cottonwood,Midwest,Minnesota,MN,30%,16%,19%,10%,10%,32%
Crow Wing,Midwest,Minnesota,MN,29%,17%,16%,10%,12%,21%
Dakota,Midwest,Minnesota,MN,26%,14%,10%,7%,9%,17%
Dodge,Midwest,Minnesota,MN,29%,15%,10%,8%,8%,18%
Douglas,Midwest,Minnesota,MN,26%,15%,13%,9%,10%,22%
Faribault,Midwest,Minnesota,MN,27%,15%,21%,10%,10%,26%
Fillmore,Midwest,Minnesota,MN,26%,16%,17%,9%,10%,21%
Freeborn,Midwest,Minnesota,MN,31%,16%,18%,9%,9%,27%
Goodhue,Midwest,Minnesota,MN,31%,17%,12%,9%,10%,22%
Grant,Midwest,Minnesota,MN,30%,15%,17%,10%,10%,27%
Hennepin,Midwest,Minnesota,MN,23%,14%,17%,7%,12%,17%
Houston,Midwest,Minnesota,MN,26%,16%,11%,9%,10%,25%
Hubbard,Midwest,Minnesota,MN,28%,17%,19%,10%,11%,23%
Isanti,Midwest,Minnesota,MN,28%,17%,12%,8%,10%,20%
Itasca,Midwest,Minnesota,MN,31%,18%,22%,10%,11%,23%
Jackson,Midwest,Minnesota,MN,31%,15%,15%,9%,9%,20%
Kanabec,Midwest,Minnesota,MN,27%,18%,21%,10%,12%,23%
Kandiyohi,Midwest,Minnesota,MN,27%,16%,19%,9%,10%,23%
Kittson,Midwest,Minnesota,MN,29%,16%,14%,10%,10%,29%
Koochiching,Midwest,Minnesota,MN,25%,17%,23%,10%,13%,27%
Lac qui Parle,Midwest,Minnesota,MN,29%,14%,14%,10%,9%,27%
Lake,Midwest,Minnesota,MN,28%,15%,15%,10%,11%,20%
Lake of the Woods,Midwest,Minnesota,MN,29%,16%,19%,10%,9%,26%
Le Sueur,Midwest,Minnesota,MN,33%,15%,11%,8%,9%,19%
Lincoln,Midwest,Minnesota,MN,29%,15%,13%,10%,9%,25%
Lyon,Midwest,Minnesota,MN,29%,15%,16%,8%,11%,17%
Mahnomen,Midwest,Minnesota,MN,29%,25%,33%,14%,14%,29%
Marshall,Midwest,Minnesota,MN,30%,14%,13%,9%,10%,25%
Martin,Midwest,Minnesota,MN,33%,15%,20%,10%,10%,29%
McLeod,Midwest,Minnesota,MN,34%,15%,11%,8%,10%,21%
Meeker,Midwest,Minnesota,MN,28%,16%,13%,9%,10%,25%
Mille Lacs,Midwest,Minnesota,MN,33%,19%,17%,9%,13%,26%
Morrison,Midwest,Minnesota,MN,29%,17%,16%,9%,11%,23%
Mower,Midwest,Minnesota,MN,30%,17%,16%,9%,10%,26%
Murray,Midwest,Minnesota,MN,30%,15%,13%,10%,9%,23%
Nicollet,Midwest,Minnesota,MN,30%,16%,11%,7%,9%,17%
Nobles,Midwest,Minnesota,MN,29%,17%,18%,9%,8%,28%
Norman,Midwest,Minnesota,MN,31%,17%,19%,10%,10%,31%
Olmsted,Midwest,Minnesota,MN,24%,13%,13%,7%,9%,20%
Otter Tail,Midwest,Minnesota,MN,27%,15%,16%,10%,10%,22%
Pennington,Midwest,Minnesota,MN,27%,16%,13%,8%,11%,22%
Pine,Midwest,Minnesota,MN,31%,19%,25%,10%,12%,26%
Pipestone,Midwest,Minnesota,MN,28%,16%,18%,10%,10%,25%
Polk,Midwest,Minnesota,MN,31%,18%,16%,9%,10%,25%
Pope,Midwest,Minnesota,MN,30%,15%,13%,9%,9%,28%
Ramsey,Midwest,Minnesota,MN,25%,16%,24%,8%,13%,18%
Red Lake,Midwest,Minnesota,MN,31%,16%,12%,9%,11%,24%
Redwood,Midwest,Minnesota,MN,33%,17%,18%,10%,10%,24%
Renville,Midwest,Minnesota,MN,31%,15%,17%,9%,10%,23%
Rice,Midwest,Minnesota,MN,27%,16%,16%,8%,10%,22%
Rock,Midwest,Minnesota,MN,28%,15%,12%,9%,10%,22%
Roseau,Midwest,Minnesota,MN,33%,16%,12%,8%,9%,26%
Scott,Midwest,Minnesota,MN,25%,14%,7%,6%,7%,17%
Sherburne,Midwest,Minnesota,MN,27%,16%,9%,7%,9%,22%
Sibley,Midwest,Minnesota,MN,31%,15%,14%,9%,9%,28%
St. Louis,Midwest,Minnesota,MN,26%,19%,20%,9%,13%,19%
Stearns,Midwest,Minnesota,MN,27%,15%,14%,7%,11%,21%
Steele,Midwest,Minnesota,MN,28%,16%,17%,8%,9%,19%
Stevens,Midwest,Minnesota,MN,29%,17%,12%,8%,10%,22%
Swift,Midwest,Minnesota,MN,28%,16%,15%,9%,10%,28%
Todd,Midwest,Minnesota,MN,29%,17%,25%,10%,10%,26%
